token_context,word_context,seg_context,sent_cotext,label
"['##e and polgu ~ re, 1991 ), lfs (Iordanskaja et al., 1992), and joyce (Rambow and Korelsky, 1992).', 'the framework was originally developed for the realization of deep - syntactic structures in nlg ( #AUTHOR_TAG )']","['framework represents a generalization of several predecessor nlg systems based on meaning - text theory : fog ( kittredge and polgu ~ re, 1991 ), lfs (Iordanskaja et al., 1992), and joyce (Rambow and Korelsky, 1992).', 'the framework was originally developed for the realization of deep - syntactic structures in nlg ( #AUTHOR_TAG )']","['##e and polgu ~ re, 1991 ), lfs (Iordanskaja et al., 1992), and joyce (Rambow and Korelsky, 1992).', 'the framework was originally developed for the realization of deep - syntactic structures in nlg ( #AUTHOR_TAG )']","['framework represents a generalization of several predecessor nlg systems based on meaning - text theory : fog ( kittredge and polgu ~ re, 1991 ), lfs (Iordanskaja et al., 1992), and joyce (Rambow and Korelsky, 1992).', 'the framework was originally developed for the realization of deep - syntactic structures in nlg ( #AUTHOR_TAG )']",0
['##ii notation used internally in the framework ( #AUTHOR_TAG )'],['ascii notation used internally in the framework ( #AUTHOR_TAG )'],"['from a meteorological application, meteocogent ( Kittredge and Lavoie , 1998 ), represented using the standard graphical notation and also the realpro ascii notation used internally in the framework ( #AUTHOR_TAG )']","['first of these characteristics makes a dependency tree structure a very useful representation for mt and multilingual nlg, since it gives linguists a representation that allows them to abstract over numerous crosslinguistic divergences due to language specific ordering ( polgu ~ re, 1991 in the implemented applications, the dsyntss are the pivotal representations involved in most transformations, as this is also often the case in practice in linguistic - based mt (Hutchins and Somers, 1997).', 'figure 2 illustrates a dsynts from a meteorological application, meteocogent ( Kittredge and Lavoie , 1998 ), represented using the standard graphical notation and also the realpro ascii notation used internally in the framework ( #AUTHOR_TAG )']",2
"['- o ii a failli pleuvoir.', 'more details on how the structural divergences described in ( #AUTHOR_TAG ) can be accounted for using our formalism can be found in ( Nasr et al. , 1998 )']","['- o ii a failli pleuvoir.', 'more details on how the structural divergences described in ( #AUTHOR_TAG ) can be accounted for using our formalism can be found in ( Nasr et al. , 1998 )']","['- o ii a failli pleuvoir.', 'more details on how the structural divergences described in ( #AUTHOR_TAG ) can be accounted for using our formalism can be found in ( Nasr et al. , 1998 )']","['- o ii a failli pleuvoir.', 'more details on how the structural divergences described in ( #AUTHOR_TAG ) can be accounted for using our formalism can be found in ( Nasr et al. , 1998 )']",0
"['taken in systems such as ariane ( Vauquois and Boitet , 1985 ), fog ( Kittredge and Polguere , 1991 ), joyce ( rambow and #AUTHOR_TAG ), and lfs ( Iordanskaja et al. , 1992 ).', 'although it adopts the general principles found in the abovementioned systems, the approach presented in this paper is more']","['taken in systems such as ariane ( Vauquois and Boitet , 1985 ), fog ( Kittredge and Polguere , 1991 ), joyce ( rambow and #AUTHOR_TAG ), and lfs ( Iordanskaja et al. , 1992 ).', 'although it adopts the general principles found in the abovementioned systems, the approach presented in this paper is more practical, and we believe, would eventually integrate better with emerging statistics - based approaches to mt']","['taken in systems such as ariane ( Vauquois and Boitet , 1985 ), fog ( Kittredge and Polguere , 1991 ), joyce ( rambow and #AUTHOR_TAG ), and lfs ( Iordanskaja et al. , 1992 ).', 'although it adopts the general principles found in the abovementioned systems, the approach presented in this paper is more']","['this paper we present a linguistically motivated framework for uniform lexicostructural processing.', 'it has been used for transformations of conceptual and syntactic structures during generation in monolingual and multilingual natural language generation ( nlg ) and for transfer in machine translation ( mt ).', 'our work extends directions taken in systems such as ariane ( Vauquois and Boitet , 1985 ), fog ( Kittredge and Polguere , 1991 ), joyce ( rambow and #AUTHOR_TAG ), and lfs ( Iordanskaja et al. , 1992 ).', 'although it adopts the general principles found in the abovementioned systems, the approach presented in this paper is more practical, and we believe, would eventually integrate better with emerging statistics - based approaches to mt']",2
"['framework represents a generalization of several predecessor nlg systems based on meaning - text theory : fog ( Kittredge and Polguere , 1991 ), lfs ( Iordanskaja et al. , 1992 ), and joyce ( rambow and #AUTHOR_TAG ).', 'the framework was originally developed for the realization of deep - syntactic structures in nlg']","['framework represents a generalization of several predecessor nlg systems based on meaning - text theory : fog ( Kittredge and Polguere , 1991 ), lfs ( Iordanskaja et al. , 1992 ), and joyce ( rambow and #AUTHOR_TAG ).', 'the framework was originally developed for the realization of deep - syntactic structures in nlg']","['framework represents a generalization of several predecessor nlg systems based on meaning - text theory : fog ( Kittredge and Polguere , 1991 ), lfs ( Iordanskaja et al. , 1992 ), and joyce ( rambow and #AUTHOR_TAG ).', 'the framework was originally developed for the realization of deep - syntactic structures in nlg']","['framework represents a generalization of several predecessor nlg systems based on meaning - text theory : fog ( Kittredge and Polguere , 1991 ), lfs ( Iordanskaja et al. , 1992 ), and joyce ( rambow and #AUTHOR_TAG ).', 'the framework was originally developed for the realization of deep - syntactic structures in nlg']",2
"['1 : example text shown in standard and asr format ation which is not available in asr output is sentence boundary information.', 'however, knowledge of sentence boundaries is required by many nlp technologies.', ""part of speech taggers typically require input in the format of a single sentence per line ( for example brill's tagger ( #AUTHOR_TAG ) ) and parsers generally aim to produce a tree spanning each sentence""]","['1 : example text shown in standard and asr format ation which is not available in asr output is sentence boundary information.', 'however, knowledge of sentence boundaries is required by many nlp technologies.', ""part of speech taggers typically require input in the format of a single sentence per line ( for example brill's tagger ( #AUTHOR_TAG ) ) and parsers generally aim to produce a tree spanning each sentence""]","['1 : example text shown in standard and asr format ation which is not available in asr output is sentence boundary information.', 'however, knowledge of sentence boundaries is required by many nlp technologies.', ""part of speech taggers typically require input in the format of a single sentence per line ( for example brill's tagger ( #AUTHOR_TAG ) ) and parsers generally aim to produce a tree spanning each sentence""]","['1 : example text shown in standard and asr format ation which is not available in asr output is sentence boundary information.', 'however, knowledge of sentence boundaries is required by many nlp technologies.', ""part of speech taggers typically require input in the format of a single sentence per line ( for example brill's tagger ( #AUTHOR_TAG ) ) and parsers generally aim to produce a tree spanning each sentence""]",0
"['both languages, we resolved coreference by using swizzle, our implementation of a bilingual coreference resolver.', 'swizzle is a multilingual enhancement of cocktail ( #AUTHOR_TAG ), a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information.', 'when cocktail was applied separately on the english and the ro - manian texts, coreferring links were identified for each english and romanian document respectively.', 'when aligned referential expressions corefer with non - aligned anaphors, swizzle derived new heuris - tics for coreference.', 'our experiments show that swizzleoutperform']","['both languages, we resolved coreference by using swizzle, our implementation of a bilingual coreference resolver.', 'swizzle is a multilingual enhancement of cocktail ( #AUTHOR_TAG ), a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information.', 'when cocktail was applied separately on the english and the ro - manian texts, coreferring links were identified for each english and romanian document respectively.', 'when aligned referential expressions corefer with non - aligned anaphors, swizzle derived new heuris - tics for coreference.', 'our experiments show that swizzleoutperformed cocktailon both english and romanian test documents']","['both languages, we resolved coreference by using swizzle, our implementation of a bilingual coreference resolver.', 'swizzle is a multilingual enhancement of cocktail ( #AUTHOR_TAG ), a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information.', 'when cocktail was applied separately on the english and the ro - manian texts, coreferring links were identified for each english and romanian document respectively.', 'when aligned referential expressions corefer with non - aligned anaphors, swizzle derived new heuris - tics for coreference.', 'our experiments show that swizzleoutperformed cocktailon both english and romanian test documents']","['both languages, we resolved coreference by using swizzle, our implementation of a bilingual coreference resolver.', 'swizzle is a multilingual enhancement of cocktail ( #AUTHOR_TAG ), a coreference resolution system that operates on a mixture of heuristics that combine semantic and textual cohesive information.', 'when cocktail was applied separately on the english and the ro - manian texts, coreferring links were identified for each english and romanian document respectively.', 'when aligned referential expressions corefer with non - aligned anaphors, swizzle derived new heuris - tics for coreference.', 'our experiments show that swizzleoutperformed cocktailon both english and romanian test documents']",2
"[', some of the best - performing and most robust coreference resolution systems employ knowledge - based techniques.', 'traditionally, these techniques have combined extensive syntactic, se - mantic, and discourse knowledge.', 'the acquisition of such knowledge is time - consuming, difficult, and error - prone.', 'nevertheless, recent results show that knowledge - poor methods perform with amazing accuracy ( cfxxx ( #AUTHOR_TAG ), ( Kennedy and Boguraev , 1996 ) ( Kameyama , 1997 ) ).', 'for example, cogniac (Baldwin, 1997), a system based on seven ordered heuristics, generates high - precision resolution ( over 90 % ) for some cases of pronominal reference.', 'for this research, we used a coreference resolution sys - tem ( (Harabagiu and Malorano, 1999) ) that imple - ment']","[', some of the best - performing and most robust coreference resolution systems employ knowledge - based techniques.', 'traditionally, these techniques have combined extensive syntactic, se - mantic, and discourse knowledge.', 'the acquisition of such knowledge is time - consuming, difficult, and error - prone.', 'nevertheless, recent results show that knowledge - poor methods perform with amazing accuracy ( cfxxx ( #AUTHOR_TAG ), ( Kennedy and Boguraev , 1996 ) ( Kameyama , 1997 ) ).', 'for example, cogniac (Baldwin, 1997), a system based on seven ordered heuristics, generates high - precision resolution ( over 90 % ) for some cases of pronominal reference.', 'for this research, we used a coreference resolution sys - tem ( (Harabagiu and Malorano, 1999) ) that imple - ments different sets of heuristics corresponding to various forms of coreference.', 'this system, called cocktail, resolves coreference by exploiting several textual cohesion constraints']","[', some of the best - performing and most robust coreference resolution systems employ knowledge - based techniques.', 'traditionally, these techniques have combined extensive syntactic, se - mantic, and discourse knowledge.', 'the acquisition of such knowledge is time - consuming, difficult, and error - prone.', 'nevertheless, recent results show that knowledge - poor methods perform with amazing accuracy ( cfxxx ( #AUTHOR_TAG ), ( Kennedy and Boguraev , 1996 ) ( Kameyama , 1997 ) ).', 'for example, cogniac (Baldwin, 1997), a system based on seven ordered heuristics, generates high - precision resolution ( over 90 % ) for some cases of pronominal reference.', 'for this research, we used a coreference resolution sys - tem ( (Harabagiu and Malorano, 1999) ) that imple - ments different sets of heuristics corresponding to various forms of coreference.', 'this system, called cocktail, resolves coreference by exploiting several textual cohesion constraints (']","[', some of the best - performing and most robust coreference resolution systems employ knowledge - based techniques.', 'traditionally, these techniques have combined extensive syntactic, se - mantic, and discourse knowledge.', 'the acquisition of such knowledge is time - consuming, difficult, and error - prone.', 'nevertheless, recent results show that knowledge - poor methods perform with amazing accuracy ( cfxxx ( #AUTHOR_TAG ), ( Kennedy and Boguraev , 1996 ) ( Kameyama , 1997 ) ).', 'for example, cogniac (Baldwin, 1997), a system based on seven ordered heuristics, generates high - precision resolution ( over 90 % ) for some cases of pronominal reference.', 'for this research, we used a coreference resolution sys - tem ( (Harabagiu and Malorano, 1999) ) that imple - ments different sets of heuristics corresponding to various forms of coreference.', 'this system, called cocktail, resolves coreference by exploiting several textual cohesion constraints ( e. g. term repetition ) combined with lexical and textual coherence cues ( e. g. subjects of communication verbs are more likely to refer to the last person mentioned in the text ).', 'these constraints are implemented as a set of heuristics ordered by their priority.', 'moreover, the cocktailframework uniformly addresses the prob - lem of interaction between different forms of coref - erence, thus making the extension to multilingual coreference very natural']",0
"['involve only derivational morphology - linking verbs with their nominalizations.', 'on other occasions, coercions are obtained as paths of meronyms ( e. g. is - part re - lations ) and hypernyms ( e. g. is - a relations ).', 'consistency checks implemented for this class of coref - erence are conservative : either the adjuncts must be identical or the adjunct of the referent must be less specific than the antecedent.', 'table 1 lists the top performing heuristics of cocktailfor pronominal and nominal coreference.', 'examples of the heuristics operation on the muc data are presented presented in table 2.', 'details of the top performing heuristics of cocktail were reported in ( #AUTHOR_TAG )']","['third class of heuristics resolves coreference by coercing nominals.', 'sometimes coercions involve only derivational morphology - linking verbs with their nominalizations.', 'on other occasions, coercions are obtained as paths of meronyms ( e. g. is - part re - lations ) and hypernyms ( e. g. is - a relations ).', 'consistency checks implemented for this class of coref - erence are conservative : either the adjuncts must be identical or the adjunct of the referent must be less specific than the antecedent.', 'table 1 lists the top performing heuristics of cocktailfor pronominal and nominal coreference.', 'examples of the heuristics operation on the muc data are presented presented in table 2.', 'details of the top performing heuristics of cocktail were reported in ( #AUTHOR_TAG )']","['third class of heuristics resolves coreference by coercing nominals.', 'sometimes coercions involve only derivational morphology - linking verbs with their nominalizations.', 'on other occasions, coercions are obtained as paths of meronyms ( e. g. is - part re - lations ) and hypernyms ( e. g. is - a relations ).', 'consistency checks implemented for this class of coref - erence are conservative : either the adjuncts must be identical or the adjunct of the referent must be less specific than the antecedent.', 'table 1 lists the top performing heuristics of cocktailfor pronominal and nominal coreference.', 'examples of the heuristics operation on the muc data are presented presented in table 2.', 'details of the top performing heuristics of cocktail were reported in ( #AUTHOR_TAG )']","['third class of heuristics resolves coreference by coercing nominals.', 'sometimes coercions involve only derivational morphology - linking verbs with their nominalizations.', 'on other occasions, coercions are obtained as paths of meronyms ( e. g. is - part re - lations ) and hypernyms ( e. g. is - a relations ).', 'consistency checks implemented for this class of coref - erence are conservative : either the adjuncts must be identical or the adjunct of the referent must be less specific than the antecedent.', 'table 1 lists the top performing heuristics of cocktailfor pronominal and nominal coreference.', 'examples of the heuristics operation on the muc data are presented presented in table 2.', 'details of the top performing heuristics of cocktail were reported in ( #AUTHOR_TAG )']",0
"[', some of the best - performing and most robust coreference resolution systems employ knowledge - based techniques.', 'traditionally, these techniques have combined extensive syntactic, semantic, and discourse knowledge.', 'the acquisition of such knowledge is time - consuming, difficult, and error - prone.', 'nevertheless, recent results show that knowledge - poor methods perform with amazing accuracy ( cf.', '(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997) ).', 'for example, cogniac (Baldwin, 1997), a system based on seven ordered heuristics, generates high - precision resolution ( over 90 % ) for some cases of pronominal reference.', 'for this research, we used a coreference resolution system ( ( #AUTHOR_TAG ) ) that implements different sets of heuristics corresponding to various forms of coreference.', 'this system, called cocktail, resolves coreference by exploiting several textual cohesion constraints (']","[', some of the best - performing and most robust coreference resolution systems employ knowledge - based techniques.', 'traditionally, these techniques have combined extensive syntactic, semantic, and discourse knowledge.', 'the acquisition of such knowledge is time - consuming, difficult, and error - prone.', 'nevertheless, recent results show that knowledge - poor methods perform with amazing accuracy ( cf.', '(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997) ).', 'for example, cogniac (Baldwin, 1997), a system based on seven ordered heuristics, generates high - precision resolution ( over 90 % ) for some cases of pronominal reference.', 'for this research, we used a coreference resolution system ( ( #AUTHOR_TAG ) ) that implements different sets of heuristics corresponding to various forms of coreference.', 'this system, called cocktail, resolves coreference by exploiting several textual cohesion constraints']","[', some of the best - performing and most robust coreference resolution systems employ knowledge - based techniques.', 'traditionally, these techniques have combined extensive syntactic, semantic, and discourse knowledge.', 'the acquisition of such knowledge is time - consuming, difficult, and error - prone.', 'nevertheless, recent results show that knowledge - poor methods perform with amazing accuracy ( cf.', '(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997) ).', 'for example, cogniac (Baldwin, 1997), a system based on seven ordered heuristics, generates high - precision resolution ( over 90 % ) for some cases of pronominal reference.', 'for this research, we used a coreference resolution system ( ( #AUTHOR_TAG ) ) that implements different sets of heuristics corresponding to various forms of coreference.', 'this system, called cocktail, resolves coreference by exploiting several textual cohesion constraints (']","[', some of the best - performing and most robust coreference resolution systems employ knowledge - based techniques.', 'traditionally, these techniques have combined extensive syntactic, semantic, and discourse knowledge.', 'the acquisition of such knowledge is time - consuming, difficult, and error - prone.', 'nevertheless, recent results show that knowledge - poor methods perform with amazing accuracy ( cf.', '(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997) ).', 'for example, cogniac (Baldwin, 1997), a system based on seven ordered heuristics, generates high - precision resolution ( over 90 % ) for some cases of pronominal reference.', 'for this research, we used a coreference resolution system ( ( #AUTHOR_TAG ) ) that implements different sets of heuristics corresponding to various forms of coreference.', 'this system, called cocktail, resolves coreference by exploiting several textual cohesion constraints ( e. g. term repetition ) combined with lexical and textual coherence cues ( e. g.', 'subjects of communication verbs are more likely to refer to the last person mentioned in the text ).', 'these constraints are implemented as a set of heuristics ordered by their priority.', 'moreover, the cocktail framework uniformly addresses the problem of interaction between different forms of coreference, thus making the extension to multilingual coreference very natural']",5
